ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D,DISTRICT_CATEGORY
319880C87E,서울  성동구  마장동,한일**,,서울 성동구,축산물,마장동,20120312,,마장동
A6277E8E47,서울  성동구  마장동,세계**,,서울 성동구,축산물,마장동,20120911,,마장동
57AEEDF72B,서울  성동구  마장동,파리**********,베이커리10,서울 성동구,베이커리,마장동,20110112,,마장동
99730CC7C5,서울  성동구  마장동,진*,,서울 성동구,요리주점,왕십리,20000420,,마장동
1900B33A12,서울  성동구  마장동,삼대**,한식-냉면1,서울 성동구,한식-냉면,,20081008,,마장동
112C9E0C52,서울  성동구  마장동,대구*,,서울 성동구,백반/가정식,마장동,20140211,,마장동
87569153FF,서울  성동구  마장동,원조***,,서울 성동구,한식-육류/고기,,20050201,,마장동
AC6B3827B8,서울  성동구  마장동,훈희***,,서울 성동구,한식-육류/고기,마장동,20090122,,마장동
8425C2D133,서울  성동구  마장동,몽실******,,서울 성동구,한식-육류/고기,마장동,20110506,,마장동
21C4BDD140,서울  성동구  마장동,순대**,,서울 성동구,한식-국밥/설렁탕,마장동,20051223,,마장동
11B0AA1C3B,서울  성동구  마장동,동원**,,서울 성동구,한식-단품요리일반,왕십리,20011022,,마장동
E6AE130DD5,서울  성동구  마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,,마장동
EE8D458B93,서울  성동구  무학로,와이***********,,서울 성동구,축산물,,20121109,,왕십리
1F5C564B04,서울  성동구  상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,,뚝섬
69EE47A25B,서울  성동구  상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,,뚝섬
6E87D8EF74,서울  성동구  상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,,뚝섬
82F292A867,서울  성동구  송정동,델리**,,서울 성동구,식료품,,20090904,,송정동
BDEBB09D4F,서울  성동구  송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,,송정동
9D085B6A2F,서울  성동구  용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,,장한평자동차
6D8F7BBA89,서울  성동구  용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,,장한평자동차
5B646D947B,서울  성동구  응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,,행당
875116B12A,서울  성동구  응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,,행당
21752D89FB,서울  성동구  행당동,영*,,서울 성동구,건강식품,행당,20090316,,행당
80E637212D,서울  성동구  행당동,에스******,,서울 성동구,커피전문점,행당,20110808,,행당
CEF3D93273,서울  성동구  행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,,행당
33361C935B,서울  성동구  행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,,행당
E1C897591D,서울  성동구  행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,,한양대
1F7ECE7D49,서울  성동구  행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,,왕십리
25D2E98F3A,서울  성동구  행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,,왕십리
66A39F4442,서울  성동구  홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,,왕십리
3E96264C22,서울  성동구  홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,,왕십리
C1C06DF70A,서울 성동구 마조로 9,설빙****,아이스크림/빙수2,서울 성동구,아이스크림/빙수,한양대,20140623,,한양대
8ABD74319E,서울 성동구 무학로 8,70******,,서울 성동구,룸살롱/단란주점,,20151116,,왕십리
8749D150F3,서울  성동구  상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,,뚝섬
5BE883AA16,서울  성동구  옥수2동,극동*****,,서울 성동구,축산물,,19941128,,옥수
94C8165F35,서울  성동구  옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,,옥수
ED815EC186,서울  성동구  옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,,옥수
FBDA2A8798,서울  성동구  옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,,옥수
147235F3A5,서울  성동구  옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,,옥수
167F268F8E,서울  성동구  행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,,왕십리
7C3795DF2D,서울  성동구  행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,,한양대
E9EB56D7EC,서울  성동구  행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,,한양대
55B4F11C0E,서울  성동구  행당2동,김밥**,,서울 성동구,분식,행당,20101011,,행당
C75AC23756,서울  성동구  행당2동,대림****,,서울 성동구,축산물,행당,20000627,,행당
4DEDE7CD03,서울 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,,신금호
8F1003CA95,서울 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,,금남시장
04BACBFB49,서울 성동구 금호로 56,해장***,,서울 성동구,백반/가정식,금남시장,20070125,,신금호
5946F40892,서울 성동구 금호로 62,교촌******,치킨6,서울 성동구,치킨,금남시장,20130325,,신금호
17FF425166,서울 성동구 금호로 66,광주**,,서울 성동구,한식-해물/생선,,20020708,,신금호
AB0716250B,서울 성동구 동일로 83,와규**,,서울 성동구,한식-육류/고기,,20080515,,건대입구
E9D4FB94A0,서울 성동구 동일로 83,참나*****,,서울 성동구,한식-단품요리일반,,20100223,,건대입구
149BA1B7C7,서울 성동구 마조로 11,써브******,샌드위치/토스트2,서울 성동구,샌드위치/토스트,한양대,20020121,,한양대
2AECA02B3A,서울 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,,한양대
11A66B8033,서울 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,,한양대
CE3D519C06,서울 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,,한양대
03A222EE9D,서울 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,,한양대
946BE40BF1,서울 성동구 마조로 25,토리********,,서울 성동구,일식당,한양대,20150911,,한양대
B2378AFA3D,서울 성동구 마조로 29,성일***,,서울 성동구,한식-감자탕,한양대,20100217,,한양대
F512DF538E,서울 성동구 마조로 31,맘스*******,햄버거2,서울 성동구,햄버거,한양대,20150831,,한양대
C2207433F7,서울 성동구 마조로 33,한솥***********,도시락3,서울 성동구,도시락,한양대,20100712,,한양대
9350A78BD7,서울 성동구 마조로 33,동방***,,서울 성동구,꼬치구이,한양대,20140721,,한양대
661C7C734C,서울 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,,한양대
43CE48A1CD,서울 성동구 마조로 39,스마*,,서울 성동구,분식,한양대,20090303,,한양대
0E2AE2C4F1,서울 성동구 마조로 7.,철*,,서울 성동구,백반/가정식,한양대,20160823,,한양대
7102ACD438,서울 성동구 매봉길 2.,인덕***,,서울 성동구,양식,옥수,20180117,,옥수
F80F79F599,서울 성동구 매봉길 2.,파파*****,피자7,서울 성동구,피자,옥수,20051130,,옥수
FCBC740B1D,서울 성동구 무학로 33,왕십**********,베이커리10,서울 성동구,베이커리,,20160419,,왕십리
D427F7C6AB,서울 성동구 무학로 42,벽산****,,서울 성동구,포장마차,,20091202,,왕십리
7D6F493369,서울 성동구 상원6길 5,춘천***,한식-육류/고기25,서울 성동구,한식-육류/고기,뚝섬,20000318,,뚝섬
98BA99BFE9,서울 성동구 상원8길 1,가든***,,서울 성동구,축산물,뚝섬,20090717,,뚝섬
54529B6426,서울 성동구 상원길 52,둘둘***********,치킨14,서울 성동구,치킨,뚝섬,20101101,,뚝섬
3DD6585AD5,서울 성동구 상원길 54,이흥***,,서울 성동구,한식-육류/고기,뚝섬,19990205,,뚝섬
2B89D787CB,서울 성동구 상원길 60,왕짜*,중식당3,서울 성동구,중식당,뚝섬,20181205,,뚝섬
3B0F367222,서울 성동구 성수동2가,맛닭******,치킨18,서울 성동구,치킨,성수,20000906,,성수
4208C4C0A7,서울 성동구 성수동2가,삼오***,,서울 성동구,식품 제조,성수,20160729,,성수
838461E308,서울 성동구 성수동2가,찐짜**,,서울 성동구,백반/가정식,성수,20150824,,성수
E8E75C90BA,서울 성동구 성수동2가,20****,,서울 성동구,한식-해물/생선,성수,20090804,,성수
37FE3D6CC0,서울 성동구 성수동2가,빙아********,,서울 성동구,아이스크림/빙수,성수,20230421,,성수
BEFB51F3ED,서울 성동구 장터3길 8,뚱이***,,서울 성동구,한식-감자탕,금남시장,20150407,,금남시장
4349A8302A,서울 성동구 장터길 23,롯데******,햄버거1,서울 성동구,햄버거,금남시장,20150812,20250818.0,금남시장
9AE54FE931,서울 성동구 장터길 25,두레******,베이커리2,서울 성동구,베이커리,금남시장,20080325,,금남시장
4EE6AA4F0F,서울 성동구 장터길 30,먹거****,,서울 성동구,한식-육류/고기,금남시장,20110303,,금남시장
0D30BE35C0,서울 성동구 장터길 37,온달***,,서울 성동구,한식-육류/고기,금남시장,20150811,,금남시장
99A8865F14,서울 성동구 장터길 47,백미*,,서울 성동구,떡/한과 제조,금남시장,20011229,,금남시장
D0ECE18966,서울 성동구 장터길 47,진미**,,서울 성동구,한식-육류/고기,금남시장,20070214,,금남시장
D333ECD384,서울 성동구 장터길 49,은하*,,서울 성동구,룸살롱/단란주점,금남시장,20050913,,금남시장
C64FD46BFC,서울 성동구 행당로 38,덕흥***,,서울 성동구,축산물,,20001012,,행당
A4369EE806,서울 성동구 행당로 79,비타***,,서울 성동구,반찬,행당,20151112,,행당
3C97811992,서울  성동구  무수막길,강정***,,서울 성동구,치킨,신금호,20091029,,신금호
1527B8DFD5,서울  성동구  무수막길,미스***,치킨21,서울 성동구,치킨,신금호,20121023,,신금호
224AE94A24,서울  성동구  상원12길,예*,,서울 성동구,백반/가정식,뚝섬,20121022,,뚝섬
F1823DF685,서울 성동구 금호로 151,포마***,분식19,서울 성동구,분식,신금호,20100624,,신금호
1361C9B25C,서울 성동구 금호로 168,사와**,,서울 성동구,분식,신금호,20081229,,신금호
0616E5FFD3,서울 성동구 금호로 17.,마테****,,서울 성동구,양식,금남시장,20150320,,신금호
F20A9C3F30,서울 성동구 금호로 17.,해*,,서울 성동구,한식-육류/고기,금남시장,20120402,,신금호
E014ED20D7,서울 성동구 금호로 17.,유어***,,서울 성동구,한식-단품요리일반,금남시장,20131016,,신금호
77E78C7C26,서울 성동구 금호로 40.,금호**************,,서울 성동구,요리주점,,20161202,,신금호
88B36E48D9,서울 성동구 금호로 45.,필라*******,,서울 성동구,룸살롱/단란주점,금남시장,20020124,,신금호
69BC027D6D,서울 성동구 금호로 56.,만족********,한식-육류/고기8,서울 성동구,한식-육류/고기,금남시장,20160822,,신금호
A7F9CAA110,서울 성동구 금호로 66.,대중*****,,서울 성동구,한식-육류/고기,,20151030,,신금호
0286E31425,서울 성동구 금호로 84.,장미**,,서울 성동구,백반/가정식,,20150902,,신금호
C26F430D81,서울 성동구 금호로 86.,삼덕**,,서울 성동구,미곡상,,20130605,,신금호
AE28C5ED57,서울 성동구 난계로 32.,지코*******,치킨27,서울 성동구,치킨,,20230727,,왕십리
572B665575,서울 성동구 난계로 35.,이디***********,커피전문점6,서울 성동구,커피전문점,,20161123,,왕십리
93F595E5D2,서울 성동구 난계로 97.,삼미**,,서울 성동구,한식-단품요리일반,,20150121,,왕십리
66FA72C189,서울 성동구 둘레5길 15,지성**,,서울 성동구,백반/가정식,성수,20081103,,성수
81FB160AA4,서울 성동구 뚝섬로 404,풍년**,,서울 성동구,미곡상,성수,20070710,,성수
6D19A5E92A,서울 성동구 뚝섬로 404,중국*,,서울 성동구,중식당,성수,20070808,,성수
721715F255,서울 성동구 마장로 137,퍼멘*****,,서울 성동구,베이커리,,20200831,,마장동
43F46BD63A,서울 성동구 마장로 192,수원**,,서울 성동구,한식-육류/고기,,20130605,,마장동
0400611A92,서울 성동구 마장로 199,겨울**,,서울 성동구,백반/가정식,,20131031,,마장동
EC38BD01D9,서울 성동구 마장로 211,소대**,,서울 성동구,백반/가정식,왕십리,20140806,,마장동
571F96C27E,서울 성동구 마장로 223,김밥**,분식4,서울 성동구,분식,왕십리,20080619,,마장동
C18835BA2E,서울 성동구 마장로 227,달리***,,서울 성동구,포장마차,왕십리,20050701,,마장동
44EA134147,서울 성동구 마장로 232,권가*,,서울 성동구,한식-육류/고기,왕십리,20131024,,마장동
D86773997F,서울 성동구 마장로 283,세계********,주류1,서울 성동구,주류,,20080613,,마장동
F3D0744667,서울 성동구 마장로 296,비어**,호프/맥주3,서울 성동구,호프/맥주,,20060925,,마장동
43195F0299,서울 성동구 마장로 321,나*,,서울 성동구,백반/가정식,,20020403,,마장동
41CD6D7430,서울 성동구 마장로 326,들창*,,서울 성동구,한식-육류/고기,,20080520,,마장동
E6D7A15FD3,서울 성동구 마조로 17.,레드**,,서울 성동구,분식,한양대,20100218,,한양대
149F54EBF0,서울 성동구 마조로 17.,금*,,서울 성동구,중식당,한양대,20110808,,한양대
1F43B61BB2,서울 성동구 마조로 17.,든든****,,서울 성동구,호프/맥주,한양대,20130830,,한양대
2C264531BC,서울 성동구 마조로 17.,주물****,,서울 성동구,한식-육류/고기,한양대,20080812,,한양대
D1138B8FD3,서울 성동구 마조로 17.,올레*******,,서울 성동구,한식-육류/고기,한양대,20110906,,한양대
73F46BB8A3,서울 성동구 마조로 17.,육지**,,서울 성동구,한식-육류/고기,한양대,20131018,,한양대
FF37DA45D4,서울 성동구 마조로 17.,꼬지***,,서울 성동구,한식-육류/고기,한양대,20131118,,한양대
7A6A7EB10A,서울 성동구 마조로 17.,이모*****,,서울 성동구,한식-육류/고기,한양대,20141125,,한양대
55B960CBD0,서울 성동구 마조로 17.,더구**,,서울 성동구,한식-육류/고기,한양대,20150624,,한양대
0E559E84F4,서울 성동구 마조로 17.,양대*,,서울 성동구,한식-육류/고기,한양대,20160401,,한양대
42326C1AF5,서울 성동구 마조로 21.,금*,,서울 성동구,중식당,한양대,20011218,,한양대
3BCE6D8224,서울 성동구 마조로 21.,쏘러*,,서울 성동구,호프/맥주,한양대,20140722,,한양대
FCAF2BC53E,서울 성동구 마조로 21.,빽다******,커피전문점4,서울 성동구,커피전문점,한양대,20150731,20250818.0,한양대
87EDA03BF6,서울 성동구 마조로 25.,뉴스*****,호프/맥주7,서울 성동구,호프/맥주,한양대,20150820,,한양대
E10B522E89,서울 성동구 마조로 25.,이가**,,서울 성동구,한식-육류/고기,한양대,20050207,,한양대
9DB8C036CD,서울 성동구 마조로 27.,달포*,,서울 성동구,포장마차,한양대,20151229,,한양대
3AE3E04CCF,서울 성동구 마조로 29.,쥬*,주스1,서울 성동구,주스,한양대,20150526,,한양대
13CF34E13D,서울 성동구 마조로 29.,행컵*****,백반/가정식23,서울 성동구,백반/가정식,한양대,20220420,,한양대
1AEC503D19,서울 성동구 마조로 31.,교촌*******,치킨6,서울 성동구,치킨,한양대,20181113,,한양대
27751D8C2E,서울 성동구 마조로 33.,악어***,,서울 성동구,분식,한양대,20110517,,한양대
B3E898AB24,서울 성동구 마조로 34.,본도*********,도시락2,서울 성동구,도시락,한양대,20141120,,한양대
77F596FCF5,서울 성동구 마조로 35.,본죽*********,한식-죽2,서울 성동구,한식-죽,한양대,20140523,,한양대
64E401B0CC,서울 성동구 마조로 55.,청담**,,서울 성동구,반찬,,20160325,,한양대
05992E2BE5,서울 성동구 매봉길 13.,락앤*****,중식당1,서울 성동구,중식당,,20140507,,옥수
2324CB55B4,서울 성동구 매봉길 16.,래미***,,서울 성동구,한식-단품요리일반,옥수,20110314,,옥수
CF7D4E4D69,서울 성동구 매봉길 22.,함흥***,,서울 성동구,한식-국밥/설렁탕,옥수,20130802,,옥수
69013447B1,서울 성동구 무학로 10.,냉삼*********,,서울 성동구,한식-육류/고기,,20210420,,왕십리
765AA249BB,서울 성동구 무학로 33.,좋은******,,서울 성동구,식료품,,20231120,,왕십리
158EC80184,서울 성동구 무학로 33.,푸른**,,서울 성동구,축산물,,20241210,,왕십리
56F352C52C,서울 성동구 무학로 33.,퀸타*****,,서울 성동구,베이커리,,20161118,,왕십리
5FCE089938,서울 성동구 무학로 33.,이디******,커피전문점6,서울 성동구,커피전문점,,20161117,,왕십리
A8B5572DE8,서울 성동구 무학로 33.,애정***,,서울 성동구,백반/가정식,,20081215,,왕십리
3CAACEBFFD,서울 성동구 무학로 36.,한국***,,서울 성동구,백반/가정식,,20140217,,왕십리
52BE681A0A,서울 성동구 사근동 178,미네***,,서울 성동구,일식-우동/소바/라면,한양대,20161014,,한양대
8532D4C362,서울 성동구 사근동11길,그린******,,서울 성동구,카페,,20230223,,한양대
50832A2B37,서울 성동구 사근동길 4,비*,,서울 성동구,한식-찌개/전골,한양대,20090729,,한양대
3D05D0CBE9,서울 성동구 상왕십리동,일미**********,한식-육류/고기21,서울 성동구,한식-육류/고기,,20140812,,왕십리
E961D9800C,서울 성동구 상왕십리동,옐로************,,서울 성동구,한식-단품요리일반,,20211109,,왕십리
7FD59667F6,서울 성동구 상원10길 6,풍년*****,,서울 성동구,백반/가정식,뚝섬,20090520,,뚝섬
B0B5E9F0A8,서울 성동구 상원10길 8,미락******,,서울 성동구,한식-국수/만두,뚝섬,20100610,,뚝섬
F425FD13E4,서울 성동구 상원1길 15,돈벼***,,서울 성동구,한식-육류/고기,뚝섬,19991015,,뚝섬
BD237E8126,서울 성동구 상원2길 5.,페로************,,서울 성동구,카페,뚝섬,20200407,,뚝섬
87CD1EAFC6,서울 성동구 상원6길 4.,호남**,,서울 성동구,백반/가정식,뚝섬,20121122,,뚝섬
A194A2CDE5,서울 성동구 상원8길 1.,좋은**,,서울 성동구,농산물,뚝섬,20150206,,뚝섬
AEE017222D,서울 성동구 상원길 11.,연탄****,,서울 성동구,한식-해물/생선,뚝섬,20130507,,뚝섬
6B31815A9D,서울 성동구 상원길 19.,개인****************,,서울 성동구,카페,뚝섬,20150630,,뚝섬
968834B420,서울 성동구 상원길 24.,백채*********,한식-찌개/전골1,서울 성동구,한식-찌개/전골,뚝섬,20111205,,뚝섬
B7564CFF4B,서울 성동구 상원길 24.,미사*,,서울 성동구,한식-단품요리일반,뚝섬,20131210,,뚝섬
9092940228,서울 성동구 상원길 39.,하이***,,서울 성동구,분식,뚝섬,20150708,,뚝섬
CD0848A352,서울 성동구 상원길 39.,쥬씨*****,주스1,서울 성동구,주스,뚝섬,20160718,,뚝섬
DA1B23659C,서울 성동구 상원길 51.,종로**,,서울 성동구,떡/한과 제조,뚝섬,20131204,,뚝섬
EC5DF75B11,서울 성동구 상원길 59.,신전***,분식12,서울 성동구,분식,뚝섬,20160622,,뚝섬
7727CDA849,서울 성동구 상원길 64.,코너*,,서울 성동구,양식,뚝섬,20191011,,뚝섬
735CDC10F9,서울 성동구 상원길 66.,일로*******,,서울 성동구,한식-단품요리일반,뚝섬,20160610,,뚝섬
F42D0B483B,서울 성동구 성수1가1동,동부**,,서울 성동구,축산물,성수,20140212,,성수
3DEF9DCDB9,서울 성동구 아차산로 6,김밥**,분식4,서울 성동구,분식,뚝섬,20060427,,건대입구
D9C37DB102,서울 성동구 용답19길 5,로데***,,서울 성동구,한식-육류/고기,답십리,20050525,,용답
F5F6298388,서울 성동구 용답동 5-3,동호**,,서울 성동구,일식당,답십리,19960112,,답십리
D10F02182E,서울 성동구 장터길 37.,과일**,,서울 성동구,청과물,금남시장,20240118,,금남시장
B3301EF2AC,서울 성동구 장터길 39.,부원**,,서울 성동구,한식-냉면,금남시장,20070822,,금남시장
747B2FF05E,서울 성동구 장터길 46.,장군**,,서울 성동구,백반/가정식,금남시장,20090511,,금남시장
BD1FD7F407,서울 성동구 행당로 103,바르********,분식10,서울 성동구,분식,행당,20141204,,행당
9977D38E3F,서울 성동구 행당로 119,이삭***,샌드위치/토스트3,서울 성동구,샌드위치/토스트,행당,20150430,,행당
88375A5971,서울 성동구 행당로 129,김밥**,,서울 성동구,분식,왕십리,20080328,,행당
3114F5BFDA,서울 성동구 행당로 76.,도담**,,서울 성동구,인삼제품,행당,20131028,,행당
EB66B019B5,서울 성동구 행당로 79.,카페*********,,서울 성동구,카페,행당,20160621,,행당
CA28FD6B8A,서울 성동구 행당로 82.,왕십***,,서울 성동구,미곡상,행당,20140818,,행당
66317DF98C,서울 성동구 행당로 84.,치치****,,서울 성동구,주류,행당,20210506,,행당
D731C6D372,서울 성동구 행당로 84.,커피********,커피전문점9,서울 성동구,커피전문점,행당,20150910,,행당
1F08E8119D,서울 성동구 행당로 87.,비타***,청과물1,서울 성동구,청과물,행당,20160108,,행당
DFC09E5F2A,서울 성동구 행당로 87.,빵굼*,베이커리6,서울 성동구,베이커리,행당,20130304,,행당
5B3DE5F17F,서울 성동구 행당로 87.,방가*****,,서울 성동구,한식-육류/고기,행당,20150821,,행당
17725DC7CA,서울  성동구  금호동1가,종로**,,서울 성동구,떡/한과 제조,,20090206,,신금호
3849F9A089,서울  성동구  금호동1가,우촌****,,서울 성동구,한식-육류/고기,,20060704,,신금호
E2AF8DDCAD,서울  성동구  금호동1가,태능****,,서울 성동구,한식-육류/고기,,20071005,,신금호
C21A5454F4,서울  성동구  금호동2가,우리**,,서울 성동구,미곡상,신금호,20110314,,신금호
15EE2AE836,서울  성동구  금호동3가,조아*******,,서울 성동구,담배,금남시장,20110127,,금남시장
9676392FCC,서울  성동구  금호동3가,은진***,,서울 성동구,건어물,금남시장,20090324,,금남시장
4B2AF6047C,서울  성동구  금호동3가,은성**,,서울 성동구,한식-육류/고기,금남시장,20031013,,금남시장
DA3D8B1FB0,서울  성동구  금호동4가,브레*****,,서울 성동구,건강식품,,19980124,,금남시장
E4313DDAAD,서울  성동구  금호동4가,곽가*****,,서울 성동구,백반/가정식,금남시장,20110520,,금남시장
AC70EA0FCD,서울  성동구  금호산2길,중화*,,서울 성동구,중식당,금남시장,20150619,,금남시장
6E584F4319,서울  성동구  마조로5길,시선*****,,서울 성동구,포장마차,한양대,20121228,,한양대
FF39E0223D,서울  성동구  무학로2길,오븐******,치킨25,서울 성동구,치킨,왕십리,20121017,,왕십리
BE646F48C4,서울  성동구  무학로8길,카페***,,서울 성동구,카페,왕십리,20140627,,왕십리
2889D57BC9,서울  성동구  성수동2가,영남***,,서울 성동구,식품 제조,성수,20111214,20250731.0,성수
15E95AF364,서울 강남구 선릉로 711.,잭슨******,,서울 성동구,피자,,20211025,,
BCE250D47B,서울 성동구 금호로 100.,한*,,서울 성동구,농산물,,20141112,,신금호
921F25CC9D,서울 성동구 금호로 100.,현준**,,서울 성동구,청과물,,20160309,,신금호
55F3EC2326,서울 성동구 금호로 102.,가츠**,,서울 성동구,양식,,20130827,,신금호
D66D8AD118,서울 성동구 금호로 164.,청과****,,서울 성동구,청과물,신금호,20050117,,신금호
AB0A569DCA,서울 성동구 금호로 168.,먹태**,,서울 성동구,호프/맥주,신금호,20150812,,신금호
6DF56DD3F4,서울 성동구 금호로 40 .,커스*******,,서울 성동구,커피전문점,,20160202,,신금호
5468EE06CF,서울 성동구 금호로 47-1,금수*,,서울 성동구,중식당,금남시장,20020604,,신금호
13920AE06B,서울 성동구 금호산길 62,해마******,,서울 성동구,한식-육류/고기,신금호,20040901,,신금호
4EFDFC6E78,서울 성동구 금호산길 71,전주**,,서울 성동구,백반/가정식,신금호,20011207,,신금호
E32B3F96D3,서울 성동구 동일로 143.,우마************,,서울 성동구,일식당,,20090720,,건대입구
EADA92CB95,서울 성동구 동일로 143.,밥내*,,서울 성동구,한식-단품요리일반,,20160119,,건대입구
94864656C3,서울 성동구 동일로 265.,싱싱***,,서울 성동구,한식-육류/고기,,20150506,,건대입구
19DC3A560D,서울 성동구 동호로 102.,더건***************,,서울 성동구,식품 제조,,20150312,20250717.0,금남시장
E1B7CDD2A1,서울 성동구 동호로 93 .,비에***************,치킨3,서울 성동구,치킨,,20061019,,금남시장
96A00BF6D0,서울 성동구 동호로 93 .,파리********,베이커리10,서울 성동구,베이커리,,20240426,,금남시장
E23D8D8DEC,서울 성동구 둘레11길 26,우*,,서울 성동구,축산물,성수,20020715,,성수
23B6250706,서울 성동구 둘레15길 14,행복**,,서울 성동구,백반/가정식,성수,20110408,,성수
9635DC4359,서울 성동구 둘레15길 16,농우*,,서울 성동구,축산물,성수,20070525,,성수
3F320BF290,서울 성동구 뚝섬로 321.,국수***,,서울 성동구,한식-국수/만두,,20091103,,성수
5BF5A99836,서울 성동구 뚝섬로 337.,성수**,,서울 성동구,분식,성수,20141127,,성수
9CAEFAC424,서울 성동구 뚝섬로 338.,뚝섬***,,서울 성동구,한식-육류/고기,성수,20080801,,성수
